Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.025, 3677724.00000436, 3677724.04, -0.03999563992023468, 18, 18, 0, 0, 0.04, -0.04, 0.15160667896270752, 0.1370108425617218, 0.014595836400985718, 8585, 16851009, 898, 540, 1, 100, 200, 1000
0.026000000000000002, 3677742.00000436, 3677742.02, -0.01999563992023468, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.16068266332149506, 0.12126868963241577, 0.039413973689079285, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.027, 3677760.00000436, 3677760, 4.3600797653198246E-06, 18, 17.98, 0.02, 0, 0, 0, 0.26803362369537354, 0.19817915558815002, 0.06985446810722351, 8585, 16850977, 900, 540, 1, 100, 200, 1000
0.028, 3677778.00000436, 3677777.96, 0.04000436007976532, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.25039684772491455, 0.2401597946882248, 0.010237053036689758, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.029, 3677796.00000436, 3677795.96, 0.04000436007976532, 18, 18, 0, 0, -0.04, 0.04, 0.24039772152900696, 0.2340286821126938, 0.006369039416313171, 8585, 16851073, 3, 540, 1, 100, 200, 1000
0.03, 3677814.00000436, 3677813.98, 0.02000436007976532, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.10518550872802734, 0.22300076484680176, -0.11781525611877441, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.031, 3677832.00000436, 3677832.02, -0.01999563992023468, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.07626739889383316, 0.1654912531375885, -0.08922385424375534, 8585, 16851009, 900, 540, 1, 100, 200, 1000
0.032, 3677850.00000436, 3677850.04, -0.03999563992023468, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.12932740151882172, 0.0916447639465332, 0.03768263757228851, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.033, 3677868.00000436, 3677868.04, -0.03999563992023468, 18, 18, 0, 0, 0.02, -0.02, 0.1444086879491806, 0.14339269697666168, 0.001015990972518921, 8585, 16851105, 898, 540, 1, 100, 200, 1000
0.034, 3677886.00000436, 3677886.02, -0.01999563992023468, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.26364976167678833, 0.14617636799812317, 0.11747339367866516, 8585, 16851073, 900, 540, 1, 100, 200, 1000
0.035, 3677904.00000436, 3677903.98, 0.02000436007976532, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.31426331400871277, 0.22134065628051758, 0.09292265772819519, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.036000000000000004, 3677922.00000436, 3677921.96, 0.04000436007976532, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.22032210230827332, 0.26419106125831604, -0.043868958950042725, 8585, 16851009, 3, 540, 1, 100, 200, 1000
0.037, 3677940.00000436, 3677939.98, 0.02000436007976532, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.163729727268219, 0.21529299020767212, -0.051563262939453125, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.038, 3677958.00000436, 3677957.98, 0.02000436007976532, 18, 18, 0, 0, 0.02, -0.02, 0.2110903561115265, 0.19158287346363068, 0.019507482647895813, 8585, 16850977, 1, 540, 1, 100, 200, 1000
0.039, 3677976.00000436, 3677976, 4.3600797653198246E-06, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.10636977106332779, 0.1966666281223297, -0.09029685705900192, 8585, 16851105, 1, 540, 1, 100, 200, 1000
0.04, 3677994.00000436, 3677994.02, -0.01999563992023468, 18, 18.02, -0.02, 0, 0, 0, 0.13166441023349762, 0.16663452982902527, -0.03497011959552765, 8585, 16851073, 900, 540, 1, 100, 200, 1000
0.041, 3678012.00000436, 3678012.02, -0.01999563992023468, 18, 18, 0, 0, 0.02, -0.02, 0.1723766326904297, 0.15990383923053741, 0.012472793459892273, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.042, 3678030.00000436, 3678030, 4.3600797653198246E-06, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.2002503126859665, 0.20637288689613342, -0.006122574210166931, 8585, 16851009, 1, 540, 1, 100, 200, 1000
