Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.025, 4000680.0000043395, 4000680.04, -0.03999566078186035, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.19051074981689453, 0.15629707276821136, 0.034213677048683167, 8585, 16851105, 899, 540, 1, 100, 200, 1000
0.026000000000000002, 4000698.0000043395, 4000698, 4.339218139648437E-06, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.2705782949924469, 0.1967143416404724, 0.07386395335197449, 8585, 16851073, 1, 540, 1, 100, 200, 1000
0.027, 4000716.0000043395, 4000715.96, 0.04000433921813965, 18, 17.96, 0.04, 0, 0, 0, 0.3248259723186493, 0.2694149315357208, 0.05541104078292847, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.028, 4000734.0000043395, 4000733.96, 0.04000433921813965, 18, 18, 0, 0, -0.04, 0.04, 0.2239282727241516, 0.24561414122581482, -0.021685868501663208, 8585, 16851009, 2, 540, 1, 100, 200, 1000
0.029, 4000752.0000043395, 4000751.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.20740509033203125, 0.16345125436782837, 0.04395383596420288, 8585, 16850977, 2, 540, 1, 100, 200, 1000
0.03, 4000770.0000043395, 4000770, 4.339218139648437E-06, 18, 18.02, -0.02, 0, 0, 0, 0.08705458045005798, 0.2130759209394455, -0.1260213404893875, 8585, 16851105, 1, 540, 1, 100, 200, 1000
0.031, 4000788.0000043395, 4000788.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0, 0, 0.07038474082946777, 0.16112348437309265, -0.09073874354362488, 8585, 16851073, 899, 540, 1, 100, 200, 1000
0.032, 4000806.0000043395, 4000806.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.1705997884273529, 0.14860373735427856, 0.02199605107307434, 8585, 16851137, 899, 540, 1, 100, 200, 1000
0.033, 4000824.0000043395, 4000824.02, -0.019995660781860353, 18, 18, 0, 0, 0, 0, 0.16758276522159576, 0.17515110969543457, -0.007568344473838806, 8585, 16851009, 900, 540, 1, 100, 200, 1000
0.034, 4000842.0000043395, 4000841.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.3055363595485687, 0.180250883102417, 0.12528547644615173, 8585, 16851041, 1, 540, 1, 100, 200, 1000
0.035, 4000860.0000043395, 4000859.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.32969290018081665, 0.21903298795223236, 0.11065991222858429, 8585, 16850977, 2, 540, 1, 100, 200, 1000
0.036000000000000004, 4000878.0000043395, 4000877.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.19215217232704163, 0.21874766051769257, -0.02659548819065094, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.037, 4000896.0000043395, 4000896, 4.339218139648437E-06, 18, 18.02, -0.02, 0, 0, 0, 0.08947142958641052, 0.17224738001823425, -0.08277595043182373, 8585, 16851073, 0, 540, 1, 100, 200, 1000
0.038, 4000914.0000043395, 4000914.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0, 0, 0.1792912632226944, 0.15093737840652466, 0.02835388481616974, 8585, 16851137, 899, 540, 1, 100, 200, 1000
0.039, 4000932.0000043395, 4000932.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.1718854159116745, 0.17370209097862244, -0.001816675066947937, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.04, 4000950.0000043395, 4000950.02, -0.019995660781860353, 18, 18, 0, 0, 0, 0, 0.16999304294586182, 0.15318040549755096, 0.016812637448310852, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.041, 4000968.0000043395, 4000968, 4.339218139648437E-06, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.291029691696167, 0.19559364020824432, 0.09543605148792267, 8585, 16851105, 1, 540, 1, 100, 200, 1000
0.042, 4000986.0000043395, 4000985.96, 0.04000433921813965, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.33173394203186035, 0.31002694368362427, 0.021706998348236084, 8585, 16851073, 2, 540, 1, 100, 200, 1000
0.043000000000000003, 4001004.0000043395, 4001003.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.06, 0.06, 0.13964036107063293, 0.21174295246601105, -0.07210259139537811, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.044, 4001022.0000043395, 4001022, 4.339218139648437E-06, 18, 18.02, -0.02, 0, 0, 0, 0.08845733851194382, 0.19351410865783691, -0.1050567701458931, 8585, 16851009, 1, 540, 1, 100, 200, 1000
0.045, 4001040.0000043395, 4001040.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0, 0, 0.14989687502384186, 0.13488587737083435, 0.015010997653007507, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.046, 4001058.0000043395, 4001058.04, -0.03999566078186035, 18, 18.02, -0.02, 0, 0, 0, 0.15628622472286224, 0.13425755500793457, 0.022028669714927673, 8585, 16850977, 898, 540, 1, 100, 200, 1000
0.047, 4001076.0000043395, 4001076.02, -0.019995660781860353, 18, 17.98, 0.02, 0, 0.04, -0.04, 0.250785231590271, 0.13865207135677338, 0.11213316023349762, 8585, 16851105, 899, 540, 1, 100, 200, 1000
0.048, 4001094.0000043395, 4001093.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.2215711772441864, 0.20686328411102295, 0.014707893133163452, 8585, 16851073, 1, 540, 1, 100, 200, 1000
0.049, 4001112.0000043395, 4001111.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.2197224497795105, 0.21999230980873108, -0.00026986002922058105, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.05, 4001130.0000043395, 4001129.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.11929314583539963, 0.23258933424949646, -0.11329618841409683, 8585, 16851009, 2, 540, 1, 100, 200, 1000
0.051000000000000004, 4001148.0000043395, 4001147.98, 0.020004339218139648, 18, 18, 0, 0, 0.02, -0.02, 0.21329601109027863, 0.18155017495155334, 0.03174583613872528, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.052000000000000005, 4001166.0000043395, 4001166, 4.339218139648437E-06, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.08557925373315811, 0.21340103447437286, -0.12782178074121475, 8585, 16850977, 1, 540, 1, 100, 200, 1000
0.053, 4001184.0000043395, 4001184.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0, 0, 0.11475929617881775, 0.14939123392105103, -0.034631937742233276, 8585, 16851105, 900, 540, 1, 100, 200, 1000
0.054, 4001202.0000043395, 4001202.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.17249198257923126, 0.15419317781925201, 0.018298804759979248, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.055, 4001220.0000043395, 4001220, 4.339218139648437E-06, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.2516108751296997, 0.1965010017156601, 0.05510987341403961, 8585, 16851009, 900, 540, 1, 100, 200, 1000
0.056, 4001238.0000043395, 4001237.98, 0.020004339218139648, 18, 17.98, 0.02, 0, 0, 0, 0.232562854886055, 0.27182063460350037, -0.039257779717445374, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.057, 4001256.0000043395, 4001255.96, 0.04000433921813965, 18, 17.98, 0.02, 0, 0, 0, 0.23473532497882843, 0.26013854146003723, -0.0254032164812088, 8585, 16850977, 3, 540, 1, 100, 200, 1000
0.058, 4001274.0000043395, 4001273.96, 0.04000433921813965, 18, 18, 0, 0, -0.02, 0.02, 0.23763276636600494, 0.2247934639453888, 0.01283930242061615, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.059000000000000004, 4001292.0000043395, 4001292, 4.339218139648437E-06, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.16398875415325165, 0.18152719736099243, -0.017538443207740784, 8585, 16851073, 0, 540, 1, 100, 200, 1000
0.06, 4001310.0000043395, 4001310.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.123506560921669, 0.1523464471101761, -0.02883988618850708, 8585, 16851137, 899, 540, 1, 100, 200, 1000
0.061, 4001328.0000043395, 4001328.04, -0.03999566078186035, 18, 18.02, -0.02, 0, 0, 0, 0.08209189772605896, 0.16776567697525024, -0.08567377924919128, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.062, 4001346.0000043395, 4001346.04, -0.03999566078186035, 18, 18, 0, 0, 0.02, -0.02, 0.15694452822208405, 0.13208720088005066, 0.024857327342033386, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.063, 4001364.0000043395, 4001364.02, -0.019995660781860353, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.27693623304367065, 0.18605007231235504, 0.09088616073131561, 8585, 16850977, 900, 540, 1, 100, 200, 1000
0.064, 4001382.0000043395, 4001381.96, 0.04000433921813965, 18, 17.94, 0.06, 0, 0.04, -0.04, 0.3484955132007599, 0.3503323197364807, -0.0018368065357208252, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.065, 4001400.0000043395, 4001399.96, 0.04000433921813965, 18, 18, 0, 0, -0.06, 0.06, 0.18926902115345, 0.24515919387340546, -0.055890172719955444, 8585, 16851073, 2, 540, 1, 100, 200, 1000
0.066, 4001418.0000043395, 4001418, 4.339218139648437E-06, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.11874189227819443, 0.18933896720409393, -0.0705970749258995, 8585, 16851009, 1, 540, 1, 100, 200, 1000
0.067, 4001436.0000043395, 4001436.04, -0.03999566078186035, 18, 18.04, -0.04, 0, 0, 0, 0.035232629626989365, 0.14285296201705933, -0.10762033239006996, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.068, 4001454.0000043395, 4001454.06, -0.059995660781860354, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.12958207726478577, 0.08704113215208054, 0.04254094511270523, 8585, 16850977, 897, 540, 1, 100, 200, 1000
