Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.025, 1516050.0000003541, 1516050, 3.5405158996582034E-07, 18, 17.98, 0.02, 0, 0, 0, 0.15601935982704163, 0.13270416855812073, 0.0233151912689209, 8585, 16851041, 5000, 540, 1, 100, 20000, 1000
0.026000000000000002, 1516068.0000003541, 1516067.98, 0.020000354051589966, 18, 17.98, 0.02, 0, 0, 0, 0.2593495547771454, 0.18926210701465607, 0.07008744776248932, 8585, 16851105, 4101, 540, 1, 100, 20000, 1000
0.027, 1516086.0000003541, 1516085.98, 0.020000354051589966, 18, 18, 0, 0, -0.02, 0.02, 0.17896391451358795, 0.196168452501297, -0.017204537987709045, 8585, 16851073, 3201, 540, 1, 100, 20000, 1000
0.028, 1516104.0000003541, 1516104, 3.5405158996582034E-07, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.161752387881279, 0.14628610014915466, 0.015466287732124329, 8585, 16851137, 2300, 540, 1, 100, 20000, 1000
0.029, 1516122.0000003541, 1516122.04, -0.03999964594841004, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.035469066351652145, 0.12152451276779175, -0.0860554464161396, 8585, 16851009, 1399, 540, 1, 100, 20000, 1000
0.03, 1516140.0000003541, 1516140.02, -0.019999645948410034, 18, 17.98, 0.02, 0, 0.06, -0.06, 0.1447208672761917, 0.13523566722869873, 0.009485200047492981, 8585, 16851041, 499, 540, 1, 100, 20000, 1000
0.031, 1516158.0000003541, 1516158.02, -0.019999645948410034, 18, 18, 0, 0, -0.02, 0.02, 0.13721242547035217, 0.14634744822978973, -0.009135022759437561, 8585, 16850977, 10450, 540, 1, 100, 20000, 1000
0.032, 1516176.0000003541, 1516175.98, 0.020000354051589966, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.20515093207359314, 0.1680086851119995, 0.03714224696159363, 8585, 16851105, 9551, 540, 1, 100, 20000, 1000
0.033, 1516194.0000003541, 1516193.96, 0.04000035405158996, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.238596111536026, 0.2344455122947693, 0.004150599241256714, 8585, 16851073, 8653, 540, 1, 100, 20000, 1000
0.034, 1516212.0000003541, 1516211.96, 0.04000035405158996, 18, 18, 0, 0, -0.02, 0.02, 0.1815253347158432, 0.20142902433872223, -0.01990368962287903, 8585, 16851137, 7752, 540, 1, 100, 20000, 1000
0.035, 1516230.0000003541, 1516230, 3.5405158996582034E-07, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.1453414112329483, 0.177047461271286, -0.03170605003833771, 8585, 16851009, 6851, 540, 1, 100, 20000, 1000
0.036000000000000004, 1516248.0000003541, 1516248.02, -0.019999645948410034, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.115864597260952, 0.09147172421216965, 0.02439287304878235, 8585, 16851041, 5949, 540, 1, 100, 20000, 1000
0.037, 1516266.0000003541, 1516266.06, -0.059999645948410035, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.06586446613073349, 0.09509027004241943, -0.029225803911685944, 8585, 16850977, 5048, 540, 1, 100, 20000, 1000
0.038, 1516284.0000003541, 1516284.04, -0.03999964594841004, 18, 17.98, 0.02, 0, 0.06, -0.06, 0.20190216600894928, 0.08264164626598358, 0.1192605197429657, 8585, 16851105, 4148, 540, 1, 100, 20000, 1000
0.039, 1516302.0000003541, 1516302, 3.5405158996582034E-07, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.22351273894309998, 0.14688284695148468, 0.0766298919916153, 8585, 16851137, 3250, 540, 1, 100, 20000, 1000
0.04, 1516320.0000003541, 1516319.96, 0.04000035405158996, 18, 17.96, 0.04, 0, 0, 0, 0.29823628067970276, 0.23061226308345795, 0.06762401759624481, 8585, 16851009, 2352, 540, 1, 100, 20000, 1000
0.041, 1516338.0000003541, 1516337.94, 0.06000035405158997, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.24666573107242584, 0.28833335638046265, -0.041667625308036804, 8585, 16851041, 1453, 540, 1, 100, 20000, 1000
0.042, 1516356.0000003541, 1516355.96, 0.04000035405158996, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.15486490726470947, 0.1787390112876892, -0.023874104022979736, 8585, 16850977, 553, 540, 1, 100, 20000, 1000
0.043000000000000003, 1516374.0000003541, 1516373.98, 0.020000354051589966, 18, 18.02, -0.02, 0, 0, 0, 0.08376888185739517, 0.1767967939376831, -0.09302791208028793, 8585, 16851105, 11401, 540, 1, 100, 20000, 1000
0.044, 1516392.0000003541, 1516392.02, -0.019999645948410034, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.04164173826575279, 0.12420275807380676, -0.08256101980805397, 8585, 16851073, 10499, 540, 1, 100, 20000, 1000
0.045, 1516410.0000003541, 1516410.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.11673049628734589, 0.08799929171800613, 0.028731204569339752, 8585, 16851137, 9598, 540, 1, 100, 20000, 1000
0.046, 1516428.0000003541, 1516428.04, -0.03999964594841004, 18, 18, 0, 0, 0.02, -0.02, 0.12091619521379471, 0.1261606514453888, -0.005244456231594086, 8585, 16851009, 8699, 540, 1, 100, 20000, 1000
0.047, 1516446.0000003541, 1516446, 3.5405158996582034E-07, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.19460105895996094, 0.13651448488235474, 0.0580865740776062, 8585, 16851041, 7800, 540, 1, 100, 20000, 1000
0.048, 1516464.0000003541, 1516463.98, 0.020000354051589966, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.26529619097709656, 0.20215748250484467, 0.06313870847225189, 8585, 16850977, 6902, 540, 1, 100, 20000, 1000
0.049, 1516482.0000003541, 1516481.96, 0.04000035405158996, 18, 17.98, 0.02, 0, 0, 0, 0.24343164265155792, 0.24102425575256348, 0.002407386898994446, 8585, 16851105, 6002, 540, 1, 100, 20000, 1000
0.05, 1516500.0000003541, 1516500, 3.5405158996582034E-07, 18, 18.04, -0.04, 0, -0.06, 0.06, 0.11140599846839905, 0.1616024225950241, -0.05019642412662506, 8585, 16851073, 5101, 540, 1, 100, 20000, 1000
0.051000000000000004, 1516518.0000003541, 1516518.02, -0.019999645948410034, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.11349304765462875, 0.11926297843456268, -0.0057699307799339294, 8585, 16851009, 4199, 540, 1, 100, 20000, 1000
0.052000000000000005, 1516536.0000003541, 1516536.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0, 0, 0.09881652891635895, 0.10422618687152863, -0.005409657955169678, 8585, 16851041, 3299, 540, 1, 100, 20000, 1000
